descricao;clean
GEL GEL P ULTRASSONOGRAFICA (01 LITRO CADA) CARBOGEL 1000ML;7898107240046
ELECTRON PLUS 100G;7898901080121
GEL P/ ECG FR;7898901080145
GALAO DE 5 LITROS DE GEL CONDUTOR DE FIS;7898107240022
GEL P/ ECG 100ML CARBOGEL;7898107240268
GEL P/ ULTRA-SOM - 100G CARBOGEL IND E COMERCIO LTDA;7898107240077
GEL P/ ULTRA-SOM - 1000ML CARBOGEL IND E COMERCIO LTDA;7898107240046
GEL P/ ULTRASSON;1000019879481
GEL PARA ULTRASSOM 300G CARBOGEL;7898107240053
GEL CONDUTOR 5KG GALAO/SACHE;7898107240022
METILCELULOSE 2% COLIRIO 10ML OFTALMOPHARMA;7898913661134
GEL CONDUTOR PARA EXAME, HIPOALERGENICO E INODORO - 1KG;7898107240046
GEL CONDUTOR PARA ECG;7898924950203
OLLA GEL LUBRIF INTIMO BG 50GR-DEMAIS PROD;7896222716514
OLLA GEL LUBRIF INTIMO L70 P50-DEMAIS PROD;7896222718822
OLLA GEL LUBRIF INTIMO L70 P50GR-DEMAIS PROD;7896222718822
JONTEX GEL LUB NEUTRO 100G-DEMAIS PROD;7896222720535
K-MED 2 EM 1 203G;7896523210582
LUBRIFICANTE EASY ICE MENTA GEL 40 GR TEUTO;7896112152712
GEL P ULTRASOM 05KG BISNAGA;7898924950098
GEL P/ ECG 100GR CARBOGEL;7898107240268
PASTA ELETROCARDIOGRAMA 100GR CARBOGEL;7898107240268
PASTA ELETROCARDIOGRAMA FRASCO 100GR CARBOGEL;7898107240268
GEL ULTRASSONOGRAFIA 5000ML;7898924950081
K-Y GEL LUBRIF INTIMO SACH C 5G;7891010792077
GEL P/ ULTRASSOM - 100G CARBOGEL IND E COMERCIO LTDA;7898107240077
GEL P/ ECG 300GR VAGISPAC ADLIN;7898107240268
GEL P/ECG CONDUTOR, COMPOSICAO A BASE DE AGUA, CARACTERISTICAS ADICIONAIS PH NEUTRO  1 LITRO.;7898901080145
GEL P/ECG 100GR HALL;7898901080121
GEL PECG 1KG -;7898924950036
K-MED 100 G CIMED;7896523221724
GEL P/ ULTRASSONOGRAFIA 5KG;1000019879481
GEL P/ ECG 100G FR;7898901080121
GEL DE CONDUTIVIDADE ELETRICA P/ELETROENCEFALOGRAMA ( EEG)  - POTE C/1 KG;7898901080145
GEL CONDUTOR ULTRASSOM LOT180951 FAB.09/2018 (2ANOS);7898107240077
GEL P ECG 1 KG HAL;7898901080145
GEL BARREIRA ANTIBACTERIANO C/ POLIHEXAM 30ML;7898944419049
GEL CONDUTOR PARA ULTRASSONOGRAFIA - FRASCO 100GR;7898924950203
GEL CONDUTOR PARA ULTRASSONOGRAFIA, 100GR;7898924950203
GEL MEGA 1KG;7898930422497
ELECTRON PLUS 1KG FR;7898901080145
GEL ULTRASSOM - FRASCO 100G;7898107240077
GEL CONDUTOR ULTRASSOM - FRASCO 100G CARBOGEL;7898107240077
K-SEX UNIAOQ SIM NATURAL GEL 50 GRS;7896006216568
K MED CIMED GEL 50 GRS;7896523206790
K-SEX UNIAOQ SIM HOT GEL 50 GRS;7896006216582
GEL ELETRO 1KG AZUL;7898901080145
GEL P/ECG 100GR MULTIGEL;7898924950203
GEL PARA ULTRASSONOGRAFIA 1KG  HAL;7898901080107
K-Y GEL LUBIF INTIMO 50G L50P40;7897211100376
GEL P/ECG 100G FABRICANTE: CARBOGEL;7898107240077
GEL P/ ECG - HAL;7898901080145
GEL P  ULTRASSONOGRAFIA 100G SONIC PLUS HAL;7898901080084
GEL P/ ECG 1000ML (1KG)  MULTIGEL;7898924950036
PASTA CONDUTORA P/ ELETROCARDIOGRAMA, ULTRASSONOGRAFIA, E DEMAIS, ACONDICIONADA EM FRASCO C/ NO MINIMO 100ML - MULTIGEL;7897808302015
GEL P/ ULTRA SOM GALAO 5KG;7898917052433
PURILON GEL 25G;5701780803298
GEL CONDUTOR PARA EXAME, HIPOALERGENICO E INODORO. 100ML;7898924950500
GEL P ECG 1KG MULTIGEL;7898924950227
GEL PARA ECG 100G MULTIGEL;7898924950203
GEL P/ECG 1KG MULTIGEL;7898924950227
METICEL (HIPROMELOSE/HPMC) 2% - SERINGA 1,5 ML;7898913661011
GEL P/ECG 1 KILO;7898901080145
MULTIGEL - GEL PARA ELETRODO FRASCO DE 100ML.;7898924950203
GEL PARA ECG 100GRS (CARBOGEL);7898107240558
GERMI RIO QUATERNARIO DE AMONIO 5 LITROS RIOQUIMICA;9900000152314
MULTIGEL -GEL P/ULTRASSOM 1KG.;7898924950036
GEL P/ECG 100GR FRASCO HAL;7898901080121
POLIHEXAM SOLUGEL 100 ML SILK;7898944419032
DEBRIGEL ALG CA 30G SILK;7898909344522
METICEL 4% 1,5 ML - .;7898913661028
METICEL 2% 1,5ML - .;7898913661011
MULTIGEL - GEL P/ECG;7898924950203
MULTIGEL - GEL P/ECG (100ML);7898924950203
GEL P/ECG 100GR BAG HAL;7898901080305
GEL PARA ULTRASSOM/ECG 100G INCOLOR CLINIGEL MULTIGEL;7898924950500
GEL P/ULTRASOM 01KG BAG HAL;7898901080282
DEBRIGEL ALG CA 85G SILK;7898909344492
MULTIGEL - GEL P/ ULTRASSOM 1KG;7898924950036
MULTIGEL - GEL PARA ECG - EMBALAGEM 100ML;7898924950203
MULTIGEL - GEL PARA ECG - EMBALAGEM 5 LITROS;7898924950265
GEL P/ ULTRASSON 100GR C/112 (TRANSP)-CARBOGEL;7898107240077
METILCELULOSE 2% SERINGA 1,5ML;7898154460022
HIALURONATO DE SODIO - AMVISC PLUS 0,8 - CODIGO: 60081L *-BL INDUSTRIA OTICA LTDA;16674
GEL GEL P ULTRASSONOGRAFICA 100 ML MULTIGEL;7898107240268
GEL PULTRASSONOGRAFIA 5000ML MULTIGEL;7898924950081
DEBRIGEL-ALGINATO DE CALCIO TUBO 85GR;7898909344492
GEL P/ ULTRASSONOGRAFIA GALAO 5 LT;7890000036986
EASY LUB TRADICIONAL INT 50 G TEU.;7896112152729
GEL P/ ULTRASSOM 5 KG PLURIGEL/CARBOGEL;5000000001729
K-Y GEL LUBRIF INT WARMING 71G;7891010501693
ALFAPORACTANTO CUROSURF 240 MG FR 03 ML;7896672202124
VENLAFAXINA 75MG (VENLIFT OD) CX C/ 30CPR;8903855062006
HIOSCINA COMPOSTA BUTILBROMETO DE ESCOPOLAMINA4MG/ML + DIPIRONA SODICA500MG/ML INJ 5ML HYPOCINA HYPOFARMA;7898122910894
FENITOINA 50MG/ML INJ 5ML C-1 GENERICO HIPOLABOR;7898123906605
SACARATO DE HIDROXIDO  FERRICO 20MG/ML IV SUCROFER UNIAO QUIMICA;8902344901147
SORO  GLICOSADO 5% INJ 250ML  KP FRESENIUS;7897947706538
EPINEFRINA 1MG/ML INJ 1ML ADREN HIPOLABOR;7898123900023
SORO  GLICOSADO 5% INJ 500ML KP FRESENIUS;7897947706545
SORO  FISIOLOGICO 0,9% INJ 100ML KP CLORETO DE SODIO FRESENIUS;7897947706477
RINGER C/LACTATO INJ 500ML KP FRESENIUS;7897947706644
CLORETO DE SODIO 0,9% INJ 10ML ISOFARMA;27898361700045
SORO  FISIOLOGICO 0,9% INJ 250 ML KP CLORETO DE SODIO FRESENIUS;7897947706484
SORO  GLICOSADO 5% INJ 100ML  KP FRESENIUS;7897947706521
SORO  FISIOLOGICO 0,9% INJ 500ML KP CLORETO DE SODIO FRESENIUS;7897947706491
METILERGOMETRINA 0,2MG INJ 1ML ERGOMETRIN UNIAO QUIMICA;7896006270218
ACIDO TRANEXAMICO 50MG/ML INJ 5ML GENERICO HIPOLABOR;7898470682054
AGUA  PARA INJECAO INJ 500ML KP GENERICO FRESENIUS;7897947706699
FENTANILA 50UG/ML INJ 10ML  CX/50 A-1 GENERICO HIPOLABOR;7898470680807
HEPARINA SOD. 5.000UI INJ 0,25ML  CX25AMP HEMOFOL CRISTALIA;7896676415445
SIMETICONA 75MG GOTAS 10ML GENERICO HIPOLABOR;7898123908074
CLORETO DE SODIO 10% INJ 10ML ISOFARMA;7898361700058
AGUA  PARA INJECAO INJ 20ML GENERICO ISOFARMA;7898361700195
SORO FISIOLGICO 0,9% 100ML (CX C/ 100 BOLSAS);7898170783266
SIMETICONA GOTAS GEN. CX/200X10ML FR;7898470681903
SOL RINGER SIMPLES 500ML SF.;7897947709584
CLORETO DE SODIO A 0,9%  AMP 10ML.;7898361700041
AGUA PARA INJECAO  AMP 10ML.;7898361700157
BROMETO IPRATROPIO 20ML GEN.;7898470681828
CLOR DE CIPROFLOXACINO 500MG C/14 COMP GEN.*;7898100242979
SORO CLORETO SODIO 0,9% 500ML KABIPAC SF.;7897947706491
SORO CLORETO SODIO 0,9% 250ML SF.;7897947706484
SORO CLORETO DE SODIO 0,9% SF 100ML SOLUFLEX.;7896727841247
SORO GLICOSE 5% 500ML SF.;7897947706545
SOL DE GLICERINA 12% 500ML ESTERIL + SONDA SF.;7898166040175
SORO CLORETO DE SODIO 0,9% SF 500ML SOLUFLEX.;7896727841315
PRATI-SAL TRADICIONAL C/50 SACHES 27,9G.;7898148293780
ALUMIMAX 100ML (HIDROXIDO DE ALUMINIO).;7898133134432
HEPARINA SUBCU 5.000UI C/25X0,25ML;7896676415445
GLICOSE 25% AMP 10ML;7898361700027
DESLANOSIDIO 0,2MG/ML AMP 2ML;7896006265702
SEVOFLURANO 1ML/1ML FR 100ML C1 (C1);7896676408331
MORFINA 0,2MG/ML 1ML A1 (A1);7896676400182
SOL. DE GLICOSE 5% 250ML S/F (FRASCO);7897947706538
SOL. DE GLICOSE 5% 500ML S/F C/24;7898166041448
SOL. FISIOLOGICA 0,9% 100ML S/F (BOLSA);7897947709089
SOL. FISIOLOGICA 0,9% 500ML S/F;7897947706491
HIDROCLOROTIAZIDA 25MG C/300CPR;7896112165668
AGUA PARA INJECAO 250ML S/F (FRASCO);7897947706682
METILDOPA 500MG 30CPR (G);7896004703473
SOL. DE RINGER C/LACTATO 500ML S/F;7896727841919
AGUA PARA INJECAO 10ML;7898166040328
DIMETICONA 75MG/ML FR 10ML;7898470681903
SOL. FISIOLOGICA 0,9% 100ML S/F (FRASCO);7897947706477
SOL. DE GLICOSE 5% 500ML S/F (FRASCO);7897947706545
AMINOFILINA 240MG AMP 10 ML;7898166040724
AGUA PARA INJECAO 20ML;7898361700195
SOL. FISIOLOGICA 0,9% 500ML S/F (FRASCO);7897947706491
SULFATO DE MAGNESIO 50% AMP 10ML;7898361700546
NITROGLICERINA(TRIDIL)5MG/ML AMP 10ML;7896676415292
OMEPRAZOL 40MG AMP10ML+DIL50FA(UNIPRAZ.);7896006234210
NIFEDIPINA 10MG 450CPR;7899095210431
HIDROX. DE ALUMINIO 100ML;7898133134432
GLICOSE 50% AMP 10ML;7898166040458
CLORETO DE SODIO 0,9% AMP 10ML;7898166040342
NITROPRUS.SODIO(NIPRID)NITROP 25MG/ML2ML;7898122910955
SUP. DE GLICERINA INF. C/12;7896512901408
NITAZOXAMIDA(ANNITA)500MG 6CPR;7898040321512
MORFINA 10MG/ML 1ML A1 (A1);7898123908975
FENOTEROL 0,5% FR 20ML;7898148294008
SORO REHIDRAT. PO 27,9G 50ENV;7898133137327
ETILEFRINA 10MG/ML AMP 1ML;7896006212706
BICARB. DE SODIO 8,4% AMP 10ML;7898166040595
CEFALOTINA 1,0G 100FA;7896014685707
SOL. DE RINGER S/LACTATO 500ML S/F;7897947709584
ETOMIDATO 2MG/ML AMP 10ML;7896676408041
SOL. FISIOLOGICA 0,9% 250ML S/F;7898166041394
NEOCAINA 0,5% PES.10X4M (BUPIV+GLICOS);8902344419178
SOL. FISIOLOGICA 0,9% 250ML S/F (FRASCO);7897947706484
FLORAX SUSP. ADT FLAC 5 ML (C/100);7896685301289
OLEO MINERAL 100ML;7898133138904
FLUCONAZOL 150MG 500CAPS;7898049792436
FENTANILA 0,05MG/ML2ML(FENTANEST)A1 50U (A1);7896676428889
ESCOVA P/ASSEP. C/PVPI 48UN;7896676411416
SOL. DE GLICOSE 5% 100ML S/F (FRASCO);7897947706521
CLORETO DE POTASSIO 10% 10ML;7898166040403
CLORETO DE SODIO 20% AMP 10ML;7898361700065
FLORAX SUSP. PED. FLAC 5ML (C/100);7896685301296
SULFATO FERROSO 40MG C/500CPR;7896202502359
FLUCONAZOL 150MG 100CPR;7896862970581
ISOSSORBIDA(ISORDIL) 5MG SUBL 30CPR;7894916550031
SOL. FISIOLOGICA 0,9% 100ML S/F;7898166041387
HIOSCINA SIMPLES 1ML 20MG 6AMP;7896112197805
GLICONATO DE CALCIO 10% AMP 10 ML;7898361700485
HEMAX INJ 10.000 UI CX 01 (BIOSINTETICA);7896181901709
TECNOCRIS 1MG CX C/01 F/A 1ML - VINCRISTINA (+);7892953201732
B-PLATIN 150MG SOL. INJ. CX C/01 F/A 15ML - CARBOPLATINA (+);7896014665310
CLEXANE SAFETY LOCK 20MG 10 SERINGAS;7891058003203
CLEXANE SAFETY LOCK 40MG 10 SERINGAS;7896070605268
MEVATYL 27MG/ML 3FR X 10ML;7898932171126
METREXATO-METOTREXATO 2,5 MG CX C/24 COMP;7896014669028
PERMANGANATO DE POTASSIO 100MG CPRS;7898917592908
SULFATO FERROSO CPR.;7899470801353
ACIDO TRANEXAMICO 250MG/5ML AMP.5ML (HIPOLABOR-MG);7898470682054
AMINOFILINA 100 MG CPR (VITAPAN-GO);7898049792603
OLEO MINERAL 100MG/ML FR.100 ML;7898179711093
AMOXI+CLAV.POTASSIO 500MG/125M MG CPR (SANDOZ);7897595624635
AMINOFILINA 100MG APRES. CX/500 CPRS (VITAMEDIC);7898049792603
TOPIRAMATO 50MGCPRS (ZYDUS);7898927562298
ESCITALOPRAM 10MG CPRS (GEOLAB-GO);7899095238671
MIDAZOLAM 15MG GEN CPRS;7896422517621
12868 - DEXCLORFENIRAMINA 2 MG CPRS (GEOLAB-GO);7899095210172
CLOPIDOGREL 75 MG COMP. (SANDOZ);7897595605924
11382 - DEXCLORFENIRAMINA 2MG FRASCO 100ML (HIPOLABOR-MG);7898470682153
6118 - CARVEDILOL 6,25MG CPRS (NOVA QUIMICA);7895296261043
6034 - CARVEDILOL 12,5MG CPRS (NOVA QUIMICA);7895296261012
5879 - CARVEDILOL 3,125MG CPRS (NOVA QUIMICA);7895296261036
DOXAZOSINA 4MG CPRS (G) (SANDOZ);7897595602527
CLOPIDOGREL 75 MG CX/28 COMP (G) (SANDOZ);7897595605924
DEXCLORFENIRAMINA 2 MG COMP COMP (GEOLAB-GO);7899095210172
SAIS P/REHIDRAT.ORAL ENV. (NATULAB);7898133137327
HALOPERIDOL DECAN. 70,52MG/ML C/3 AMP. 1ML;7896006261629
HALOPERIDOL DECANOATO (70,52) = 50MG C/3 AMP.1ML;7896006261629
SEVOFLURANO 1ML/ML SOL INAL FR C/250 ML-GGREM - 513405703175111- (BIOCHIMICO-RJ);7897406113051
NITROGLICERINA 50 MG 10ML C/10 C/1 AMP (CRISTALIA-SP);7896676415292
FOSF.SOD. MONOB.+FOST.SOD.DIB130ML-GGREM - 540414090008903- (NATULAB);7898133139437
ONDANSETRONA 4 MG CX/100 AMP 2 ML (HALEX ISTAR-GO);7896727806031
MORFINA 10MG/ML CX/100 AMP 1ML *(A-1) GEN (HIPOLABOR-MG);7898123908975
CLOPIDOGREL 75 MG CX/28 COMP (G);7897595605924
MIDAZOLAN 50MG AMP 10ML (HIPOLABOR-MG);7898123907480
AMOXI+CLAV.POTASSIO 500MG/125 CPR (SANDOZ);7897595624642
10351 - AMOXI+CLAV.POTASSIO 500MG/125 MG CX C/21 CPRS (SANDOZ);7897595624642
RANITIDINA 150 MG GEN CPR (MEDQUIMICA-MG);7896862918101
LEVOFLOXACINO 5MG/ML INJ. BOL.100ML (CRISTALIA-SP);7896676416404
FOSF.SOD. MONOB.+FOST.SOD.DIB C/1 (NATULAB);7898133139437
RANITIDINA XAROPE 120ML (G) (NATIVITA);7897848502277
ONDANSETRONA 4 MG CX/100 AMP C/ 1 AMP (..);7896727806031
ROSUVASTATINA CALCICA 10MG CPRS (SANDOZ);7897595620613
DOXAZOSINA 4MG C/30 CPRS (G);7897595602527
BROMETO IPRATROPIO 0,25MG/ML FR.20 ML GEN;7896112114413
AMITRIPTILINA 25 MG CPR C/1000 (NEO QUIMICA);7896714208190
CARVEDILOL 12,5MG CPR C/1000 (NOVA QUIMICA);7895296261012
MED 339 - MIDAZOLAN 50MG APRES CX C/100 AMP 10ML (HIPOLABOR-MG);7898123907480
CLINDAMICINA 600 MG CX/ 50 AMP 4 ML (--);7898122912775
HALOPERIDOL 1MG CX/200 CPRS C/1 (CRISTALIA-SP);7896676405170
MED 260 - HALOPERIDOL DECAN. 70,52MG/ML APRES CX C/3 AMP. 1ML (UNIAO QUIMICA);7896006261629
MED 346 - MORFINA 10MG/ML APRES CX C/100 AMP 1ML (HIPOLABOR-MG);7898123908975
SECNIDAZOL 1000MG CPR DECNAZOL (PHARLAB-MG);7898216365296
MED 134 - CLINDAMICINA 300 MG CPR (UNIAO QUIMICA);7896006225744
MED169 - DEXCLORAFENIRAMINA 2MG CP (GEOLAB-GO);7899095210172
MED103 - CARVEDILOL 3,125MG CPR (NOVA QUIMICA);7895296261036
MED104 - CARVEDILOL 6,25MG CPR (NOVA QUIMICA);7895296261043
CARVEDILOL 12,5MG CPR CARDBET (NOVA QUIMICA);7895296261012
HALOPERIDOL DECANOATO (70,52) = 50MG APRES. CX. C/3 AMP.1ML (UNIAO QUIMICA);7896006261629
ACIDO TRANEXAMICO 250MG/5ML TRANSAMIN (--);7897460400364
AMOXICILINA + CLAV POTASSIO 500MG/125MG APRES CX C/21 CPR (SANDOZ);7897595624642
DEXCLORFENIRAMINA 2 MG FRASCO 100ML (HIPOLABOR-MG);7898470682153
CARBAMAZEPINA 2 % FRASCO 100ML (UNIAO QUIMICA);7896006228868
CARVEDILOL 3,125MG CPR C/1000 (NOVA QUIMICA);7895296261036
BROMETO IPRATROPIO 0,25MG/ML FR.20 ML;7896112114413
METOPROLOL SUCCINATO 50MG C/1000 (ACCORD);7898947385730
CARVEDILOL 6,25MG CX.C/30 CPR (NOVA QUIMICA);7895296261043
CARVEDILOL 12,5MG CX.C/30 CPR (NOVA QUIMICA);7895296261012
CARVEDILOL 3,125MG CX.C/30 CPR (NOVA QUIMICA);7895296261036
FUROSEMIDA 10MG/ML 2ML CX.C/100 (G) (--);7898404221168
MED 169 - DEXCLORAFENIRAMINA 2MG CP (GEOLAB-GO);7899095210172
CARVEDILOL 12,5MG CPR (NOVA QUIMICA);7895296261012
DEXCLORFENIRAMINA 2 MG C/1 (HIPOLABOR-MG);7898470682153
AMITRIPTILINA 25 MG CX/200 CPR (G) *(C1) (NEO QUIMICA);7896714208190
CLINDAMICINA 600 MG/4ML (GEN) AMP (HIPOLABOR-MG);7898123905028
MIDAZOLAN 15MG APRES. CX/20 CPRS (CRISTALIA-SP);7896676402469
CLOPIDOGREL 75MG COMP (SANDOZ);7897595605924
AMOXI+CLAV.POTASSIO 500MG/ CPR (SANDOZ);7897595624642
HALOPERIDOL DECANOATO (70,52) = 50MG APRES. CX. C/3 AMP.1ML;7896006261629
HALOPERIDOL DECANOATO (70,52) = 50MG CX/5 AMP 1ML (UNIAO QUIMICA);7896006261629
SEVOFLURANO FR. 250 ML *(C-1) VOFLUR (--);7896006210030
FOSF.SOD.MONOB.+FOSF.SOD.DIB. 130ML+CANULA (--);7896676401776
MED 129 - CISATRACURIO 2MG/ML SOL INJ APRES AMP 5ML (CRISTALIA-SP);7896676401653
NORETISTERONA 0,35MG CX.C/35 NORESTIN (BIOLAB SANUS-SP);7896241274903
MED 104 - CARVEDILOL 6,25MG CPR (NOVA QUIMICA);7895296261043
DEXCLORFENIRAMINA 2MG FR 100ML (HIPOLABOR-MG);7898470682153
OMEPRAZOL 20MG CX/1000 CPRS;7898148290116
MIDAZOLAN 5MG/ML C/50AMP 10ML DORMIUM;7896006226246
AMITRIPTILINA 25 MG CX/200 CPR (G) *(C1) (BRAINFARMA);7896714208190
ACETILCISTEINA 600MG ENV C/5G ENV (GEOLAB-GO);7899095239418
ACETILCISTEINA 600MG ENV C/5G C/50 ENV;7899095239418
AMITRIPTILINA 25 MG CX/200 CP (G) *(C1);7896714208190
HALOPERIDOL DECAN. 70,52MG/ML AMP. 1ML;7896006261629
AMOXI+CLAV.POTASSIO 500MG/125MG APRES. CX/21 CPRS (SANDOZ);7897595624642
MED 133 - CLINDAMICINA 600 MG AMP 4ML (HIPOLABOR-MG);7898123905028
MED 345 - MORFINA 10MG APRES CX C/50 CPR (CRISTALIA-SP);7896676406177
METILDOPA 250MG CP CX C/30 (EMS );7896004703480
MED 4 - ACETILCISTEINA 600MG ENV ENV. C/5G (GEOLAB-GO);7899095239418
CISATRACURIO 2MG/ML SOL INJ C/1 (ACCORD);7898947385464
CARVEDILOL 6,25MG C/30 CPR GEN (EMS);7896004731285
MIDAZOLAN 5MG/ML CX/100 AMP 10ML (*B1);7898123907480
MED 340 - MIDAZOLAN 15MG APRES CX C/100 AMP 3ML (HIPOLABOR-MG);7898123907466
CARVEDILOL 3,125MG C/30 CPR (G);7896004731353
AMOXI+CLAV.POTASSIO 500MG/125 MG CX/21 CPR (SANDOZ);7897595624642
MIDAZOLAN 5MG/ML CX/100 AMP 10ML (*B1) (HIPOLABOR-MG);7898123907480
AGUA PARA INJECAO SF 100ML SOLUFLEX BOLSA - HALEXISTAR;7896727843029
BACLOFENO 10 MG COMP (S);7896112127178
SOLUCAO ENEMA DE GLICERINA 12% 500ML;7896137600823
ENOXAPARINA 40 MG DISP SEG (S);7891317118228
DIMETICONA 75MG/ML GTS 10ML (G);4061069
AMOX+CLAV DE POTASSIO 1000+200MG FR (S);7896014685332
ENOXAPARINA 80 MG DISP SEG (S);7891317487348
NIMODIPINO 30 MG COMP (S);7898049790593
ENOXAPARINA 60 MG DISP SEG (S);7891317487331
GLICOSE 05% 500ML FRS CX C/20;7898153652381
DOBUTAMINA 12,5MG/ML IV AMP CX 10AMP 20ML;7898122912850
GLICERINA 12% FRS 500ML CX C/24;7898153650097
SORO FISIOLOGICO 0,9% 250ML CX C/40;7898153652329
BETAMETASONA ACETATO+FOSF.BETA 3MG/ML+3MG 25AMP 1ML (G)   BETA LONG;7896006221609
CARVEDILOL 12,5MG CX 30CPR;7896004731391
PENTOXIFILINA 400MG CX 30CPR;7896004713571
AGUA P/ INJECAO FRS 250ML SISTEMA FECHADO FRS CX C/40;7898153652503
CARVEDILOL 3,125MG CX 30CPR;7896004731261
GLICOSE 05% 250ML CX C/40;7898153652374
TERBUTALINA 0,5MG/ML CX 50AMP 1ML   TERBUTIL;7896006218340
DEXTRANA + HIPROMELOSE OFT 15ML   LACRIBELL;7896180300183
HIDROXIDO FERRICO 20MG/ML CX 5AMP 5ML   SUCROFER;8902344901147
SULFATO FERROSO 40MG 50CPR(FERRONIL)*S*;7896112144892
ATROPINA COL 1% 5ML *M*;7897316801154
SLOW K 20DRG *M*;7896261006553
BACLOFENO 10MG 20CPR *GENERICO*;7896006209027
DEXCLORFENIRAMINA 2MG 20CPR *GENERICO*;7896004711287
VERSA 20MG 02SERINGAS 0,2ML *M*;7891317487294
BEDOZIL 5000MCG AMP 2ML *S*;7893353206143
DIPIRONA GTS 10ML *GENERICO*;7896004715841
TENOXICAM 20MG 10CPR *GENERICO*;7896862918675
FENOTEROL GOTAS 20ML *GENERICO*;7896112147985
CLEXANE 20MG 2SER 0,2ML *M*;7891058003180
CABEREDUX 0,5MG 08CPR *M*;7896676421620
AMINOFILINA 200MG 20CPR *GENERICO*;7896112110354
PERMANGANATO POTASSIO 100MG C/10 *F*;7896902235731
AGUA OXIGENADA 10 VOL. 1 LITRO - RIOQUIMICA;7897780200316
AGUA BI DESTILADA 250ML FRASCO SIST. FECHADO - EUROFARMA;7898919447381
CLORETO DE POTASSIO 10% 10ML - SAMTEC;7898415824112
CLORETO DE SODIO 0,9% 10ML - SAMTEC;7898415822019
SOL. CLORETO DE SODIO 0,9% 250ML FRASCO - EUROFARMA;7898919447428
SOL. CLORETO DE SODIO 0,9% 500ML FRASCO - EUROFARMA;7898919447435
GLICOSE 25% 10ML - SAMTEC;7898415823016
SOL. RINGER LACTATO 500ML FRASCO - EUROFARMA;7898919447565
SOL. GLICOSE 5% 500ML FRASCO - EUROFARMA;7898919447534
SOL. GLICOSE 5% 250ML FRASCO - EUROFARMA;7898919447527
AGUA BI DEST.10ML - SAMTEC;7898415821012
GLICOSE 50% 10ML - SAMTEC;7898415823115
SOL. GLICOSE 5% 100ML SIST.FECHADO - FRESENIUS KABI;7897947706521
CLORETO DE SODIO 20% 10ML - SAMTEC;7898415822316
AGUA OXIGENADA 10 VOL. 1 LITRO - - RIOQUIMICA;7897780200316
RINGER C/LACTATO SODIO 500ML SANOBI;7898153652473
CLINDAMICINA 600MG IMIV INJ 4ML GEN HIPOLABOR;7898123905028
ADRENALINA (EPINEFRINA)1MG 1ML IM-IV-SC  HIPOLABOR;7898123900023
AMINOFILINA 240MG 10 ML INJ GEN FARMACE;7898166040724
METRONIDAZOL 250MG C/20 CPR GEN PRATI;7898148294381
GENTAMICINA 80MG 2ML INJ IM/IV GEN HIPOLABOR;7898123906995
DIMETICONA (SIMETICONA) 75MG 10ML GTS NATULAB;7899470807188
HEPARINA IV F/A 5000 UI 5ML BLAUSIEGEL;7896014655229
NIFEDIPINA 10MG C/30CPR GEOLAB;7899095210431
CLONAZEPAN 0,5MG C/10 CPR FRAC CRISTALIA (B1)-C;7896676411256
