,CodigoNFe,DataEmissao,MunicipioEmitente,unidadecomercial,quantidadecomercial,valorunitariocomercial,DescricaoProduto,CLEAN
3479,714473,2018-03-13,N/I,CP,95000.0,0.0699,"DIPIRONA SODICA 500MG (ITEM GENERICO) L: 18B196 Q:   86.000,0000 V: 02/02/20 L: 17J19G Q:    9.000,0000 V: 31/10/19",7898148294121
3492,714497,2018-03-23,N/I,CP,3000.0,0.0699,"DIPIRONA SODICA 500MG (ITEM GENERICO) L: 17J319 Q:    3.000,0000 V: 30/09/19",7898148294121
3501,714517,2018-03-28,N/I,CP,2000.0,0.0699,"DIPIRONA SODICA 500MG (ITEM GENERICO) L: 18B196 Q:    2.000,0000 V: 02/02/20",7898148294121
4433,717764,2018-05-11,N/I,AP,34.0,0.2884,"DIPIRONA SODICA 500MG/ML 2ML (ITEM GENERICO) L: 26582891 Q:       34,0000 F: 01/10/16 V: 31/10/18",7896112126584
4461,717942,2018-05-02,N/I,CPR,13000.0,0.083,DIPIRONA 500 MG CPR - GENERICO - LOTE: 000218,N/I
4479,717948,2018-05-02,N/I,CPR,13000.0,0.083,DIPIRONA 500 MG CPR - GENERICO - LOTE: 000218,N/I
4617,718772,2018-05-16,N/I,AP,1000.0,1.27,"BROMETO DE N-BUTILESC 20MG,DIPIR SOD 2,5  L: 2842095 Q:    1.000,0000 V: 31/10/19",7896112128427
4618,718773,2018-05-16,N/I,AP,80.0,1.27,"BROMETO DE N-BUTILESC 20MG,DIPIR SOD 2,5  L: 2842095 Q:       80,0000 V: 31/10/19",7896112128427
4620,718778,2018-05-21,N/I,CP,2500.0,0.09,"DIPIRONA SODICA 500MG (ITEM GENERICO) L: 11318 Q:    2.500,0000 V: 30/04/20",742832304856
4718,719679,2018-06-27,N/I,FR,1000.0,0.54,DIPIRONA 500MG 10ML GTS GEN SOBRAL,7897732601871
4922,720089,2018-06-19,JUIZ DE FORA,CPR,8000.0,0.083,DIPIRONA 500 MG CPR - GENERICO - LOTE: 000318,N/I
5129,721012,2018-06-07,N/I,CP,20000.0,0.072,"DIPIRONA SODICA 500MG (ITEM GENERICO) L: 11318 Q:   20.000,0000 V: 30/04/20",742832304856
5140,721029,2018-06-13,N/I,AP,30000.0,0.32,"DIPIRONA SODICA 500MG/ML 2ML (TEUTO)  (ITEM GENERICO) L: 26583382 Q:   30.000,0000 V: 30/11/19",7896112126584
5141,721030,2018-06-13,N/I,AP,3600.0,0.3399,"DIPIRONA SODICA 500MG/ML 2ML (TEUTO)  (ITEM GENERICO) L: 26583382 Q:    3.600,0000 V: 30/11/19",7896112126584
5481,722920,2018-07-06,N/I,CX,4.0,591.5,"BICARBONATO DE SODIO 8,4% CX C/35 FRS 250ML",7898122913260
5482,722921,2018-07-06,N/I,CX,8.0,591.5,"BICARBONATO DE SODIO 8,4% CX C/35 FRS 250ML",7898122913260
5487,722926,2018-07-09,N/I,CX,1.0,682.15,"BICARBONATO DE SODIO 8,4% CX C/35 FRS 250ML",7898122913260
5906,724876,2018-08-06,JUIZ DE FORA,CPR,7500.0,0.083,DIPIRONA 500 MG CPR - GENERICO - LOTE: 003418,742832304856
5985,725504,2018-08-09,N/I,CX,9.0,595.0,"BICARBONATO DE SODIO 8,4% CX C/35 FRS 250ML",7898122913260
6080,725824,2018-08-01,N/I,AP,480.0,0.35,"DIPIRONA SODICA 500MG/ML 2ML (TEUTO)  (ITEM GENERICO) L: 26583396 Q:      240,0000 V: 31/01/2020 L: 26583396 Q:      240",7896112126584
6098,725858,2018-08-13,N/I,CP,15000.0,0.069,"DIPIRONA SODICA 500MG (ITEM GENERICO) L: 18G44F Q:   15.000,0000 V: 17/07/2020",7898148294121
6099,725859,2018-08-13,N/I,CP,40000.0,0.072,"DIPIRONA SODICA 500MG (ITEM GENERICO) L: 18G83E Q:   38.000,0000 V: 31/07/2020 L: 18G44F Q:    2.000,0000 V: 17/07/2020",7898148294121
6100,725861,2018-08-13,N/I,AP,7560.0,0.3717,"DIPIRONA SODICA 500MG/ML 2ML (TEUTO)  (ITEM GENERICO) L: 26583396 Q:    7.560,0000 V: 31/01/2020",7896112126584
6103,725868,2018-08-15,N/I,CP,40000.0,0.072,"DIPIRONA SODICA 500MG (ITEM GENERICO) L: 18G43F Q:   40.000,0000 V: 17/07/2020",7898148294121
6108,725873,2018-08-16,N/I,AP,3000.0,0.4,"DIPIRONA SODICA 500MG/ML 2ML (ITEM GENERICO) L: 26583399 Q:    3.000,0000 V: 31/01/2020",7896112126584
6113,725884,2018-08-20,N/I,AP,10000.0,0.45,"DIPIRONA SODICA 500MG/ML 2ML (ITEM GENERICO) L: 26583399 Q:   10.000,0000 V: 31/01/2020",7896112126584
6114,725885,2018-08-20,N/I,AP,80.0,0.45,"DIPIRONA SODICA 500MG/ML 2ML (ITEM GENERICO) L: 26583399 Q:       80,0000 V: 31/01/2020",7896112126584
6122,725904,2018-08-29,N/I,AP,26040.0,0.3717,"DIPIRONA SODICA 500MG/ML 2ML (TEUTO)  (ITEM GENERICO) L: 26583398 Q:   26.040,0000 V: 31/01/2020",7896112126584
6160,726287,2018-09-25,N/I,AMP,3000.0,0.3375,DIPIRONA SODICA 500MG/ML IM/IV CX 100AMP 2ML   SANTIDOR,7898404220147
6242,727119,2018-09-27,N/I,FR,120.0,0.451,DIPIRONA 500MG 10ML GTS GEN SOBRAL,7897732601871
6355,727286,2018-09-03,N/I,CX,2.0,42.48,DIPIRONA 1GR/2ML C/120AMP,7896112126584
6356,727287,2018-09-12,N/I,FR,32.0,0.69,DIPIRONA GTS 10ML,-1
6393,727378,2018-09-25,JUIZ DE FORA,CPR,1000.0,0.083,DIPIRONA 500 MG CPR - GENERICO - LOTE: 031018,742832304856
6399,727380,2018-09-25,JUIZ DE FORA,CPR,19000.0,0.083,DIPIRONA 500 MG CPR - GENERICO - LOTE: 031018,742832304856
6401,727380,2018-09-25,JUIZ DE FORA,CPR,1000.0,0.083,DIPIRONA 500 MG CPR - GENERICO - LOTE: 003418,742832304856
6411,727382,2018-09-26,JUIZ DE FORA,CPR,7000.0,0.083,DIPIRONA 500 MG CPR - GENERICO - LOTE: 031018,742832304856
6494,728206,2018-09-19,N/I,CP,102000.0,0.072,"DIPIRONA SODICA 500MG (ITEM GENERICO) L: 30418 Q:    9.000,0000 V: 12/08/2020 L: 30618 Q:   11.000,0000 V: 12/08/2020 L:",742832304856
6525,728612,2018-10-29,N/I,AMP,200.0,0.39,DIPIRONA SODICA 500MG/ML IM/IV CX 100AMP 2ML   SANTIDOR,7898404220147
6526,728613,2018-10-29,N/I,AMP,200.0,0.39,DIPIRONA SODICA 500MG/ML IM/IV CX 100AMP 2ML   SANTIDOR,7898404220147
6580,729356,2018-10-03,N/I,FR,120.0,0.451,DIPIRONA 500MG 10ML GTS GEN SOBRAL Lote: G18183 Dt. Validade: 01/06/2020,7897732601871
6877,729640,2018-10-11,N/I,CX,10.0,40.3,DIPIFARMA 500MG/ML C/100AMP 2ML,7898166041004
6895,729677,2018-10-09,N/I,FR,10.0,1.1734,DIPIRONA SODICA,7896004715841
6983,730315,2018-10-11,N/I,CX,10.0,595.0,"BICARBONATO DE SODIO 8,4% CX C/35 FRS 250ML",7898122913260
7019,730555,2018-10-01,N/I,CP,84000.0,0.072,"DIPIRONA SODICA 500MG (ITEM GENERICO) L: 36518 Q:   84.000,0000 V: 17/09/2020",742832304856
7049,730890,2018-11-05,N/I,CPR,120.0,0.08,DIPIRONA SODICA 500MG CX 500CPR,742832304856
7094,730902,2018-11-23,N/I,CPR,1080.0,0.079,DIPIRONA SODICA 500MG CX 500CPR,742832304856
7104,730905,2018-11-23,N/I,CPR,420.0,0.079,DIPIRONA SODICA 500MG CX 500CPR,742832304856
7107,730906,2018-11-23,N/I,CPR,1440.0,0.079,DIPIRONA SODICA 500MG CX 500CPR,742832304856
7113,730907,2018-11-23,N/I,CPR,120.0,0.079,DIPIRONA SODICA 500MG CX 500CPR,742832304856
7127,730908,2018-11-23,N/I,CPR,900.0,0.079,DIPIRONA SODICA 500MG CX 500CPR,742832304856
7144,730917,2018-11-26,N/I,CPR,420.0,0.079,DIPIRONA SODICA 500MG CX 500CPR,742832304856
7292,731476,2018-11-23,N/I,FR,2.0,0.83,"DIPIRONA 500MG/ML GTS 20ML GEN-MARIOL LT 170186A (2)03/19 (Fornecedor: 4, Lote: 170186A, Qtde: 2 ,Data Fab:",-1
7331,731575,2018-11-19,N/I,CX,8.0,45.0,DIPIRONA 500MG C/500COMP,7898148294121
7369,731713,2018-11-01,JUIZ DE FORA,CPR,7500.0,0.083,DIPIRONA 500 MG CPR - GENERICO - LOTE: 031018,742832304856
7671,733546,2018-12-26,N/I,FR,100.0,2.4,DIPIRONA 500MG 10ML GTS GEN SOBRAL,7897732601871
7756,733709,2018-12-03,N/I,CX,10.0,39.6,DIPIFARMA 500MG/ML C/100AMP 2ML,7898166041004
7758,733709,2018-12-03,N/I,FR,10.0,0.69,DIPIRONA GTS 10ML,-1
7769,733732,2018-12-10,N/I,FR,5.0,1.104,DIPIRONA SODICA,7896004719115
7814,734364,2018-12-05,N/I,CX,1.0,750.39,"BICARBONATO DE SODIO 8,4% CX C/35 FRS 250ML",7898122913260
7818,734366,2018-12-05,N/I,CX,8.0,765.7,"BICARBONATO DE SODIO 8,4% CX C/35 FRS 250ML",7898122913260
7838,734381,2018-12-12,N/I,CX,2.0,750.385,"BICARBONATO DE SODIO 8,4% CX C/35 FRS 250ML",7898122913260
7864,734400,2018-12-21,N/I,CX,4.0,595.0,"BICARBONATO DE SODIO 8,4% CX C/35 FRS 250ML",7898122913260
8371,735573,2018-01-31,N/I,FR,100.0,0.89,DIPIRONA 500MG 10ML GTS GEN SOBRAL Lote: G18186 Dt. Validade: 01/06/2020,7897732601871
8497,736643,2018-01-04,N/I,CX,4.0,595.0,"BICARBONATO DE SODIO 8,4% CX C/35 FRS 250ML",7898122913260
8499,736648,2018-01-10,N/I,CX,4.0,595.0,"BICARBONATO DE SODIO 8,4% CX C/35 FRS 250ML",7898122913260
8548,736863,2018-01-21,N/I,CP,2750.0,0.46,"BROMETO DE N-BUTILESCOPOLAMINA 10MG,DIPI  L: 18001239 Q:    2.750,0000 V: 31/03/2020",7898216361618
9254,738134,2018-02-08,N/I,FR,50.0,0.6686,DIPIRONA GTS 10ML,-1
9258,738147,2018-02-15,N/I,CX,19.0,40.0,DIPIFARMA 500MG/ML C/100AMP 2ML,7898166041004
9260,738153,2018-02-27,N/I,CX,51.0,40.0,DIPIFARMA 500MG/ML C/100AMP 2ML,7898166041004
9262,738154,2018-02-27,N/I,CX,2.0,44.1,DIPIRONA 500MG C/500COMP,7898148294121
9300,738201,2018-02-21,N/I,FR,10.0,0.96,DIPIRONA SODICA,7896004715841
9547,739444,2018-02-11,N/I,AP,200.0,1.25,"BROMETO DE N-BUTILESC 20MG,DIPIR SOD 2,5 (ITEM GENERICO) L: H-045/18 Q:      200,0000 V: 30/09/2020",7898123906759
9929,739857,2018-03-15,N/I,CPR,1000.0,0.08,DIPIRONA SODICA 500MG CX 500CPR,742832304856
10211,740784,2018-03-18,N/I,CX,5.0,129.84,ESCOPOLAMINA+DIPIRONA C/100AMP 5ML,7898123906759
10213,740785,2018-03-18,N/I,CX,1.0,129.84,ESCOPOLAMINA+DIPIRONA C/100AMP 5ML,7898123906759
10216,740788,2018-03-25,N/I,CX,5.0,129.84,ESCOPOLAMINA+DIPIRONA C/100AMP 5ML,7898123906759
10218,740789,2018-03-25,N/I,CX,1.0,129.84,ESCOPOLAMINA+DIPIRONA C/100AMP 5ML,7898123906759
10342,741844,2018-03-29,N/I,CP,37250.0,0.46,"BROMETO DE N-BUTILESCOPOLAMINA 10MG,DIPI  L: 18004974 Q:   37.250,0000 V: 30/09/2020",7898216361618
10619,742219,2018-04-09,N/I,CPR,1000.0,0.08,DIPIRONA SODICA 500MG CX 500CPR,742832304856
10892,743033,2018-04-16,N/I,FR,50.0,0.7002,DIPIRONA GTS 10ML,-1
10893,743034,2018-04-18,N/I,CX,6.0,39.8,DIPIRONA 500MG C/500COMP,7898148294121
10926,743200,2018-04-25,JUIZ DE FORA,CPR,10000.0,0.083,DIPIRONA 500 MG CPR - GENERICO - LOTE: 051018,742832304856
11149,938793,2018-04-04,N/I,UN,60.0,24.0,"BICARBONATO DE SODIO 8,4% SOL INJ 250ML/ISOFARMA",7898122913260
11166,938797,2018-04-06,N/I,UN,1500.0,0.09,DIPIRONA SODICA 500MG COMP/PRATI-DONADUZZI,7898148294121
11248,938807,2018-04-10,N/I,UN,60.0,24.0,"BICARBONATO DE SODIO 8,4% SOL INJ 250ML/ISOFARMA",7898122913260
11337,938833,2018-04-20,N/I,UN,4000.0,0.6,DIPIRONA 500MG/ML 2ML/TEUTO,7898404220147
11483,942887,2018-04-02,N/I,CX,1.0,32.5885,DIPIRONA G. EMS 500 MG 24X10 CP,7896004703398
11485,942887,2018-04-02,N/I,VD,3.0,3.4160000000000004,DIPIRONA G. EMS XPE 50 MG/ML 100 ML,7896004715674
11563,947574,2018-04-12,N/I,AMP,300.0,0.546,DIPIRONA 500MG 2ML IM IV - CX 100 CX C\ 100 AMP DIPIFARMA,N/I
11592,948520,2018-04-05,N/I,UN,919.0,9.74,BROMETO NBUTILBROMETO ESCOPDIPIRONA SODICA 20ML - Lote: 66078 Validade: 31/12/2019,7899470802596
11613,948531,2018-04-10,N/I,UN,3081.0,9.74,BROMETO NBUTILESCOPOLAMINADIPIRONA SODICA 20ML - Lote: 0288/17 Validade: 30/06/2019,N/I
11679,948578,2018-04-19,N/I,UN,600.0,3.6,BUTILBROMETO ESCOPOLAMINA 4MGMLDIPIRONA SODICA 5 - Lote: HC17M198 Validade: 31/12/2019,N/I
11706,948595,2018-04-24,N/I,UN,15470.0,1.39,BUTILESCOPOLAMINA 20MGML 1ML - Lote: H-024/17 Validade: 30/06/2019,7898123906759
11712,948598,2018-04-24,N/I,UN,600.0,3.6,BUTILBROMETO ESCOPOLAMINA 4MGMLDIPIRONA SODICA 5 - Lote: HC17M198 Validade: 31/12/2019,N/I
11715,948599,2018-04-24,N/I,UN,4571.0,1.39,BUTILESCOPOLAMINA 20MGML 1ML - Lote: H-024/17 Validade: 30/06/2019,7898123906759
11733,948601,2018-04-25,N/I,UN,500.0,1.55,BUTILBROMETO ESCOPOLAMINA 4MGMLDIPIRONA SODICA 5 - Lote: HC17M198 Validade: 31/12/2019,N/I
11748,948608,2018-04-26,N/I,UN,200.0,1.0,BUTILBROMETO ESCOPOLAMINA 4MGMLDIPIRONA SODICA 5 - Lote: HC17M198 Validade: 31/12/2019,N/I
11778,948615,2018-04-27,N/I,UN,500.0,1.55,BUTILBROMETO ESCOPOLAMINA 4MGMLDIPIRONA SODICA 5 - Lote: HC17M198 Validade: 31/12/2019,N/I
11800,948975,2018-04-06,N/I,UN,1.0,10.29,DIPIRONA SODICA 20ML GN EMS P.M.C. 10.29,7896004718446
14492,956091,2018-04-03,N/I,UN,200.0,12.5,BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SODICA,N/I
14497,956092,2018-04-25,N/I,UN,100.0,12.5,BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SODICA,N/I
14549,957601,2018-04-05,N/I,UN,500.0,0.22,DIPIRONA 500MG,N/I
14635,957615,2018-04-17,N/I,UN,500.0,0.22,DIPIRONA 500MG,N/I
14698,957621,2018-04-25,N/I,UN,500.0,0.22,DIPIRONA 500MG,N/I
14855,961166,2018-04-10,RIO DE JANEIRO,AMP,3000.0,2.8,HIOSCINA COMPOSTA 4MG/ML(ESCOPOLAMINA+DIPIRONA 500MG/ML)5ML AMPOLA.UNIAO QUIMICA,7896112142973
14934,962605,2018-04-06,Mesquita,AMP,5000.0,1.8,"HIOSCINA (N-BUTIL BROMETO) 20MG/5ML + DIPIRONA 2,5G/5ML SOL INJ 5ML LT 17110976 VL 30/11/19",N/I
14992,964267,2018-04-13,N/I,AMP,9600.0,0.76,DIPIRONA SODICA 1G AMPOLA 2ML TEUTO,7896112126584
14993,964267,2018-04-13,N/I,AMP,2400.0,0.76,DIPIRONA SODICA 1G AMPOLA 2ML TEUTO,7896112126584
14997,964267,2018-04-13,N/I,AMP,1000.0,2.8,HIOSCINA  - N-BUTILBROMETO COMPOSTA AMPOLA 5ML HYPOFARMA,7898122910894
15023,964270,2018-04-18,N/I,CPR,6970.0,0.14,DIPIRONA SODICA 500MG COMPRIMIDO GREENPHARMA,742832304856
15024,964270,2018-04-18,N/I,CPR,13000.0,0.14,DIPIRONA SODICA 500MG COMPRIMIDO GREENPHARMA,742832304856
15025,964270,2018-04-18,N/I,CPR,8000.0,0.14,DIPIRONA SODICA 500MG COMPRIMIDO GREENPHARMA,742832304856
15026,964270,2018-04-18,N/I,CPR,9000.0,0.14,DIPIRONA SODICA 500MG COMPRIMIDO GREENPHARMA,742832304856
15027,964270,2018-04-18,N/I,CPR,7130.0,0.14,DIPIRONA SODICA 500MG COMPRIMIDO GREENPHARMA,742832304856
15028,964270,2018-04-18,N/I,CPR,6000.0,0.14,DIPIRONA SODICA 500MG COMPRIMIDO GREENPHARMA,742832304856
15029,964270,2018-04-18,N/I,CPR,6900.0,0.14,DIPIRONA SODICA 500MG COMPRIMIDO GREENPHARMA,742832304856
15045,964275,2018-04-24,N/I,CPR,170.0,0.1,DIPIRONA 500MG COMPRIMIDO GREENPHARMA,742832304856
15048,964278,2018-04-24,N/I,CPR,30.0,0.13,DIPIRONA 500MG COMPRIMIDO GREENPHARMA,742832304856
15056,964281,2018-04-24,N/I,CPR,100.0,0.13,DIPIRONA 500MG COMPRIMIDO GREENPHARMA,742832304856
15057,964282,2018-04-24,N/I,CPR,30.0,0.13,DIPIRONA 500MG COMPRIMIDO GREENPHARMA,742832304856
15120,965255,2018-04-06,N/I,CPR,5060.0,0.1829,DIPIRONA SODICA 500MG/ML 20ML FARMACE,742832304856
15192,965357,2018-04-16,N/I,CPR,5060.0,0.1829,DIPIRONA SODICA 500MG GENERICO GREEN PHARMA,742832304856
15581,966995,2018-04-25,N/I,amp,600.0,3.0,ESCAPOLAMINA BUTIL DIPIRONA 4MG/ML+500MG/ML V.06/19 L.HC17F071,N/I
15590,967001,2018-04-25,N/I,amp,600.0,3.0,ESCAPOLAMINA BUTIL DIPIRONA 4MG/ML+500MG/ML V.06/19 L.HC17F071,N/I
15707,970549,2018-04-02,N/I,COMP,5000.0,0.63,BROMETO DE N-BUTIL ESCOPOLAMINA 10MG + DIPIRONA 250 MG,N/I
15787,971577,2018-04-02,Cachoeiras de Macacu,UNIDAD,1500.0,0.4,"CARVEDILOL 12,5MG - COMPRIMIDO",7896112411314
15937,971677,2018-04-11,Cachoeiras de Macacu,COMPRI,50.0,1.1508,"CARVEDILOL 12,5MG",7896112411314
15991,971702,2018-04-12,Cachoeiras de Macacu,Compri,4000.0,0.3,"Carvedilol 12,5 mg - Com laudo de qualidade e validade com 80 % a cumprir.",7896112411314
16110,971808,2018-04-20,Cachoeiras de Macacu,UNIDAD,5000.0,0.4,"CARVEDILOL 12,5MG - COMPRIMIDO",7896112411314
16132,971821,2018-04-24,Cachoeiras de Macacu,UNIDAD,18200.0,0.4,"CARVEDILOL 12,5MG - COMPRIMIDO",7896112411314
16137,971823,2018-04-24,Cachoeiras de Macacu,UNIDAD,15000.0,0.4,"CARVEDILOL 12,5MG - COMPRIMIDO",7896112411314
16218,971879,2018-04-25,Cachoeiras de Macacu,UNIDAD,10000.0,0.4,"CARVEDILOL 12,5MG - COMPRIMIDO",7896112411314
16219,971882,2018-04-25,Cachoeiras de Macacu,UNIDAD,10000.0,0.4,"CARVEDILOL 12,5MG - COMPRIMIDO",7896112411314
16242,971917,2018-04-27,Cachoeiras de Macacu,CP,30.0,0.2,"CARVEDILOL 12,5MG CP.",7896112411314
16520,973963,2018-04-09,NITEROI,AP,1000.0,0.49,DIPIRONA SODICA 1G/ML 2ML - LT: 11524517 - VAL: 01/12/2019,N/I
16522,973964,2018-04-09,NITEROI,AP,1000.0,0.49,DIPIRONA SODICA 1G/ML 2ML - LT: 11524517 - VAL: 01/12/2019,N/I
16543,973990,2018-04-09,N/I,COMP,1500.0,0.12,DIPIRONA 500MG CP  LT 17J91A VL 28 10 2019,N/I
16548,973991,2018-04-10,N/I,AMP,3100.0,0.69,DIPIRONA  500MG ML 2ML AP (DIPIFARMA),N/I
16961,975208,2018-04-26,N/I,cmp,9600.0,0.531,ESCOPOLAMINA 10MG+ DIPIRONA 250MG  (COMPOSTO) V.04/19 L.146110,N/I
17163,976351,2018-04-20,NOVA IGUACU,AP,35.0,2.6,HIOSCINA + DIPIRONA 5ML AP,N/I
17169,976356,2018-04-20,NOVA IGUACU,AP,35.0,2.6,HIOSCINA + DIPIRONA 5ML AP,N/I
17211,976491,2018-04-27,3300456,CP,13200.0,0.7,"CARVEDILOL 12,5MG",7896112411314
17241,976873,2018-04-07,N/I,UND,400.0,0.58,DIPIRONA INJ 1GR 2ML LT 11511816 VL 06-2018,N/I
17242,976873,2018-04-07,N/I,UND,100.0,0.58,DIPIRONA INJ 1GR 2ML LT DP18A010 VL 12-01-2020,N/I
17401,988576,2018-04-11,N/I,UND,1.0,19.41,TROPINAL - CX 20 COMP,7894916208154
17818,997343,2018-04-11,N/I,CX,2.0,18.75,TROPINAL COMPR C20,7894916208154
17984,999227,2018-04-03,Nova Friburgo,CP,20000.0,0.104,DIPIRONA SODICA-500MG CX 500 COMP GEN,N/I
18112,1004508,2018-05-02,N/I,CPR,500.0,0.11,DIPIRONA SODICA 500 MG GENERICO GREEN PHARMA,742832304856
18154,1004535,2018-05-04,N/I,CPR,100.0,0.09,DIPIRONA SODICA 500 MG GENERICO GREEN PHARMA,742832304856
18232,1004607,2018-05-18,N/I,AMP,150.0,1.33,HIOSCINA + DIPIRONA 5ML GENERICO HIPOLABOR,7898123906759
18239,1004607,2018-05-18,N/I,CPR,100.0,0.09,DIPIRONA SODICA 500 MG GENERICO GREEN PHARMA,742832304856
18306,1004660,2018-05-29,N/I,FR,1.0,0.86,DIPIRONA SODICA 500MG/ML 10ML GENERICO MARIOL,7898917592076
18331,1004679,2018-05-30,N/I,FR,50.0,0.75,DIPIRONA SODICA 500MG/ML 10ML GENERICO MARIOL,7898917592076
18719,1006064,2018-05-17,Nilopolis,FR,162.0,18.56,"Bicarbonato de sodio 8,4% - 250ml Hypofarma",7898122913260
18720,1006064,2018-05-17,Nilopolis,FR,105.0,18.56,"Bicarbonato de sodio 8,4% - 250ml Hypofarma",7898122913260
18770,1006074,2018-05-17,Nilopolis,FR,162.0,18.56,"Bicarbonato de sodio 8,4% - 250 ml Hypofarma",7898122913260
18771,1006074,2018-05-17,Nilopolis,FR,105.0,18.56,"Bicarbonato de sodio 8,4% - 250 ml Hypofarma",7898122913260
18886,1011102,2018-05-15,N/I,UN,60.0,24.0,"BICARBONATO DE SODIO 8,4% SOL INJ 250ML/ISOFARMA",7898122913260
18905,1011108,2018-05-18,N/I,UN,20000.0,0.1885,DIPIRONA SODICA 500MG COMP/PRATI-DONADUZZI,7898148294121
18906,1011108,2018-05-18,N/I,UN,20000.0,0.1885,DIPIRONA SODICA 500MG COMP/PRATI-DONADUZZI,7898148294121
18990,1011831,2018-05-16,N/I,UN,1.0,23.64,MIONEVRIX C/20COMP-OUTROS,7896658001512
19080,1015101,2018-05-07,N/I,CX,5.0,3.79,DORILEN 12 CP DIPIRONA + ASSOC LEG.,7896004715032
19096,1015104,2018-05-14,N/I,CX,30.0,2.5901,NOGRIPE 20 DG DIPIRONA + ASSOC TEU.,7896112134190
19217,1021481,2018-05-07,N/I,UN,200.0,1.0,BUTILBROMETO ESCOPOLAMINA 4MGMLDIPIRONA SODICA 5 - Lote: HC17M198 Validade: 31/12/2019,N/I
19287,1021527,2018-05-16,N/I,UN,1000.0,1.55,BUTILBROMETO ESCOPOLAMINA 4MGMLDIPIRONA SODICA 5 - Lote: HC17M198 Validade: 31/12/2019,N/I
19321,1021537,2018-05-21,N/I,UN,1000.0,1.55,BUTILBROMETO ESCOPOLAMINA 4MGMLDIPIRONA SODICA 5 - Lote: HC17M198 Validade: 31/12/2019,N/I
19371,1021562,2018-05-28,N/I,UN,10899.0,1.39,BUTILESCOPOLAMINA 20MGML 1ML - Lote: H-024/17 Validade: 30/06/2019,7898123906759
19573,1022244,2018-05-25,SANTO ANTONIO DE PADUA,CX,1.0,226.8,HIOSPAN COMPOSTO 4+500MG/ML CX 120 AMP X 5ML IM/IV,7896112128427
